,rel,head,tail,misc,misc2,score,sent
674,UsedFor,prayer,holy spirit,14,0.12524348861,6.152004718780518,[CLS] the prayer is for the holy spirit . [SEP]
1235,IsA,atomic nucleus,atom,7,0.73744924903,5.874210596084595,[CLS] an atomic nucleus is an atom . [SEP]
1948,HasPrerequisite,flood control,dam,9,0.00517211465358,5.748348712921144,[CLS] flood control requires a dam . [SEP]
1513,HasA,hand,index finger,30,0.7248087796279999,5.613432884216309,[CLS] the hand has an index finger . [SEP]
1099,ReceivesAction,governor,removed from office,11,0.0852259501894,5.607308864593507,[CLS] the governor can be removed from office . [SEP]
1516,HasA,soil,organic matter,69,0.675219334862,5.603228807449341,[CLS] the soil contains organic matter . [SEP]
2085,HasPrerequisite,sky father,earth mother,9,1.37461993212e-05,5.440084934234616,[CLS] the sky father requires the earth mother . [SEP]
2177,CapableOf,gas,water vapor,20,0.181166365016,5.433738708496091,[CLS] the gas can be water vapor . [SEP]
1587,HasA,limited partnership,limited liability,8,0.243738715341,5.048894405364992,[CLS] the limited partnership has a limited liability . [SEP]
606,UsedFor,pen name,author,40,0.649584212364,4.915536403656006,[CLS] the pen name is used for the author . [SEP]
926,ReceivesAction,energy,dissipated as heat,12,0.6187040470499999,4.386085510253906,[CLS] the energy can be dissipated as heat . [SEP]
2811,Causes,playoff,championship game,10,0.0117645686147,4.254241466522217,[CLS] the effect of the playoff is the championship game . [SEP]
629,UsedFor,draft,first-round pick,11,0.345352304374,4.107413291931152,[CLS] the draft is for a first - round pick . [SEP]
605,UsedFor,lake,recreation area,7,0.659981854717,3.374229669570922,[CLS] the lake can be used for a recreation area . [SEP]
1730,HasA,the substance,drug,7,0.0258592444136,3.192346572875976,[CLS] the substance contains a drug . [SEP]
2406,HasProperty,negative number,positive,9,0.890608974869,2.9689297676086417,[CLS] a negative number is a positive . [SEP]
2233,CapableOf,anemia,chronic disease,9,0.08957514125350001,2.4094882011413565,[CLS] an ##emia can be a chronic disease . [SEP]
2787,Causes,majority party,majority coalition,7,0.0215728966018,2.304490089416502,[CLS] the effect of the majority party is the majority coalition . [SEP]
1240,IsA,space station,satellite,7,0.6867627648450001,2.275926113128661,[CLS] the space station is a satellite . [SEP]
1374,IsA,bombing,war crime,7,0.195800375911,2.2426953315734854,[CLS] the bombing is a war crime . [SEP]
1287,IsA,company,joint venture,56,0.457569507792,2.2150697708129883,[CLS] the company is a joint venture . [SEP]
2216,CapableOf,pseudonym,real name,7,0.107236351352,2.1885023117065425,[CLS] a pseudonym can be a real name . [SEP]
1844,HasPrerequisite,plurality voting,majority,12,0.07418344962060001,2.1086792945861816,[CLS] plurality voting requires a majority . [SEP]
1517,HasA,an officer,duty,11,0.673101721563,2.090117454528809,[CLS] an officer has a duty . [SEP]
712,UsedFor,housing,single family,19,0.0761458925803,2.0416502952575684,[CLS] housing is for single family . [SEP]
2168,CapableOf,group,normal subgroup,58,0.209828008447,2.0069203376769975,[CLS] group can be a normal subgroup . [SEP]
2106,CapableOf,rock music,punk rock,13,0.771448566936,1.9437923431396484,[CLS] rock music can be punk rock . [SEP]
1774,HasA,subject,indirect object,9,0.0033186284115700004,1.8758296966552734,[CLS] the subject has an indirect object . [SEP]
1250,IsA,tax,state income,20,0.638017702744,1.7736721038818355,[CLS] the tax is a state income . [SEP]
2188,CapableOf,prime minister,governor general,16,0.150223452037,1.7533378601074219,[CLS] a prime minister can be governor general . [SEP]
795,UsedFor,hip hop,reggae,34,0.0190458738505,1.7244000434875488,[CLS] you can use hip hop to reggae . [SEP]
1590,HasA,episode,air date,12,0.218828700629,1.7070770263671893,[CLS] the episode has an air date . [SEP]
2526,HasProperty,vector bundle,manifold,11,0.145314486966,1.6565666198730469,[CLS] the vector bundle is a manifold . [SEP]
2713,Causes,film,silent version,7,0.303345980395,1.6202294826507568,[CLS] the effect of the film is a silent version . [SEP]
1491,IsA,garden,public park,7,0.00447518996283,1.5305509567260742,[CLS] the garden is a public park . [SEP]
1251,IsA,dictatorship,political power,7,0.630393381032,1.508103370666503,[CLS] a dictatorship is a political power . [SEP]
2357,CapableOf,title,english translation,9,0.00920677632495,1.496366500854494,[CLS] the title can be an english translation . [SEP]
2154,CapableOf,game,single player,20,0.258524294005,1.30765962600708,[CLS] the game can be single player . [SEP]
1997,HasPrerequisite,wedding ceremony,groom,12,0.00125305580858,1.2777199745178218,[CLS] the wedding ceremony requires the groom . [SEP]
2345,CapableOf,script,arabic alphabet,10,0.0119216530849,1.224391460418702,[CLS] the script can be an arabic alphabet . [SEP]
2799,Causes,movie,big screen,7,0.0156833426129,1.2201709747314444,[CLS] the effect of the movie is the big screen . [SEP]
1273,IsA,town,rural community,9,0.505498649105,1.1330847740173349,[CLS] the town is a rural community . [SEP]
2407,HasProperty,electric charge,magnetic,18,0.866070080959,1.1202549934387216,[CLS] the electric charge is magnetic . [SEP]
1108,ReceivesAction,blood,amount of oxygen,7,0.0690513333832,1.0962772369384766,[CLS] the blood can receive an amount of oxygen . [SEP]
301,AtLocation,white hole,black hole,9,0.980471093986,1.085111141204833,[CLS] you are likely to find a white hole in the black hole . [SEP]
1925,HasPrerequisite,music video,soundtrack,15,0.00978136464063,1.0669984817504883,[CLS] a music video requires a soundtrack . [SEP]
1179,ReceivesAction,subset,element of s,8,0.0107971231,1.0116353034973153,[CLS] a subset can receive an element of s . [SEP]
2165,CapableOf,artillery,infantry fire,8,0.21531243934,0.9254684448242179,[CLS] artillery can infantry fire . [SEP]
1639,HasA,the definition,rule,13,0.121528480399,0.7972030639648438,[CLS] the definition contains a rule . [SEP]
1814,HasPrerequisite,family man,wife,11,0.295395719724,0.761530876159668,[CLS] a family man requires a wife . [SEP]
628,UsedFor,gasoline,fuel economy,9,0.34942414806100003,0.6497097015380842,[CLS] gasoline can be used for fuel economy . [SEP]
1375,IsA,database,query language,8,0.186784694147,0.5138192176818848,[CLS] database is a query language . [SEP]
1559,HasA,hospital,acute care,13,0.350180819316,0.46724581718444647,[CLS] the hospital has an acute care . [SEP]
2499,HasProperty,regime,political power,8,0.2073873138,0.371687412261962,[CLS] the regime is a political power . [SEP]
1228,IsA,short story,novel,54,0.769930694225,0.34334540367126465,[CLS] a short story is a novel . [SEP]
501,AtLocation,lake,eastern part,13,0.0229094063488,0.33629608154296786,[CLS] you are likely to find a lake in the eastern part . [SEP]
1285,IsA,drama,romantic comedy,10,0.469903477595,0.3222422599792467,[CLS] the drama is a romantic comedy . [SEP]
2007,HasPrerequisite,child custody,divorce,7,0.000883262710983,0.30500698089599565,[CLS] child custody requires a divorce . [SEP]
1552,HasA,the country,political stability,8,0.38369732239,0.30481910705566406,[CLS] the country has political stability . [SEP]
826,UsedFor,proof,algebraic geometry,7,0.00855709659536,0.2923455238342276,[CLS] the proof can be used for algebraic geometry . [SEP]
2859,Causes,episode,season finale,12,0.00327671199662,0.26281690597534046,[CLS] the effect of the episode is the season finale . [SEP]
1042,ReceivesAction,parliament,head of state,14,0.19054164778,0.24847030639648438,[CLS] parliament can receive the head of state . [SEP]
1953,HasPrerequisite,gene transfer,organism,13,0.004681749822479999,0.21834850311279297,[CLS] gene transfer requires an organism . [SEP]
1839,HasPrerequisite,market town,centre,46,0.0870323853104,0.2177724838256827,[CLS] a market town requires a centre . [SEP]
1895,HasPrerequisite,overhead cam,engine,8,0.0185496432659,0.19451665878295898,[CLS] the overhead cam requires the engine . [SEP]
1335,IsA,commanding officer,admiral,14,0.28899305981400003,0.17277431488037065,[CLS] commanding officer is an admiral . [SEP]
820,UsedFor,overhead cam,engine,8,0.00955268367309,0.17214536666870384,[CLS] the overhead cam is for the engine . [SEP]
1456,IsA,demand,marginal utility,11,0.042611642732,0.15753889083862305,[CLS] the demand is the marginal utility . [SEP]
1501,HasA,electric bass,double bass,15,0.978933646502,0.15168857574462535,[CLS] the electric bass has a double bass . [SEP]
1010,ReceivesAction,winter,form of snow,17,0.256026221246,0.14468908309936257,[CLS] the winter can receive the form of snow . [SEP]
2983,Causes,county seat,state capital,10,2.74231235211e-05,0.11804389953613104,[CLS] the effect of the county seat is the state capital . [SEP]
2150,CapableOf,society,political system,14,0.275935492122,0.07901906967163175,[CLS] society can be a political system . [SEP]
675,UsedFor,bass player,drummer,36,0.123471683702,0.0778937339782706,[CLS] the bass player is used to the drummer . [SEP]
1626,HasA,the harbour,island,13,0.14130607810999998,0.024013042449951616,[CLS] the harbour has an island . [SEP]
1608,HasA,host city,bid,7,0.167517309243,-0.05564117431640536,[CLS] the host city has bid . [SEP]
2336,CapableOf,album,limited edition,39,0.017065787,-0.09255170822143644,[CLS] the album can be a limited edition . [SEP]
1615,HasA,the violin,viola,38,0.155139049324,-0.11164569854736506,[CLS] the violin has a viola . [SEP]
1444,IsA,surveyor,court clerk,83,0.0575906881829,-0.1254444122314471,[CLS] the surveyor is a court clerk . [SEP]
318,AtLocation,village,northern end,15,0.576937933148,-0.15767312049865811,[CLS] you are likely to find a village at the northern end . [SEP]
1813,HasPrerequisite,credit card,purchase,7,0.315174916151,-0.15983057022094727,[CLS] credit card requires the purchase . [SEP]
1243,IsA,island,reserve for marine life,9,0.6627792255039999,-0.1715450286865221,[CLS] the island is a reserve for marine life . [SEP]
2865,Causes,municipality,local government,60,0.00295595083847,-0.18301630020141513,[CLS] the effect of the municipality is the local government . [SEP]
1824,HasPrerequisite,air force,pilot,11,0.176701110649,-0.19766592979431064,[CLS] the air force requires a pilot . [SEP]
374,AtLocation,dual carriageway,single carriageway,13,0.181427906674,-0.21500873565673828,[CLS] you are likely to find a dual carriage ##way in a single carriage ##way . [SEP]
824,UsedFor,weather,heavy rain,10,0.008877988791100001,-0.22360563278198242,[CLS] the weather is for heavy rain . [SEP]
1336,IsA,legitimate son,heir,19,0.287809315138,-0.2517948150634792,[CLS] the legitimate son is the heir . [SEP]
2570,HasProperty,education,public service,16,0.0677776598232,-0.2598700523376465,[CLS] education is a public service . [SEP]
319,AtLocation,mass,center of gravity,11,0.558250352524,-0.3386392593383789,[CLS] you are likely to find a mass at the center of gravity . [SEP]
2844,Causes,field,electric current,45,0.00492510223724,-0.42684745788574174,[CLS] the effect of the field is the electric current . [SEP]
1424,IsA,album,progressive rock,88,0.0874128091353,-0.4662613868713381,[CLS] the album is a progressive rock . [SEP]
1504,HasA,the city,industrial center,26,0.922242741464,-0.4793372154235849,[CLS] the city has an industrial center . [SEP]
380,AtLocation,electromagnetic radiation,electromagnetic spectrum,8,0.170423674947,-0.6257157325744638,[CLS] you are likely to find electromagnetic radiation in the electromagnetic spectrum . [SEP]
1698,HasA,general manager,position,29,0.0520289301041,-0.7462944984436017,[CLS] the general manager has a position . [SEP]
2554,HasProperty,school,french immersion,8,0.0920549558791,-0.8044893741607666,[CLS] the school is a french immersion . [SEP]
972,ReceivesAction,category theory,branch of mathematics,12,0.374982227878,-0.8530073165893555,[CLS] the category theory can be a branch of mathematics . [SEP]
2709,Causes,project,economic development,8,0.395249550326,-0.9082117080688481,[CLS] the effect of the project is economic development . [SEP]
2178,CapableOf,town,major centre,13,0.17652993375599998,-0.9421830177307111,[CLS] the town can be a major centre . [SEP]
2325,CapableOf,field,vector space,60,0.01912842586,-0.9455654621124272,[CLS] the field can be a vector space . [SEP]
627,UsedFor,heat,thermal energy,58,0.354846271779,-0.9829492568969735,[CLS] the heat is used for thermal energy . [SEP]
2350,CapableOf,song,instant hit,10,0.010579053293899998,-1.010469913482666,[CLS] the song can be an instant hit . [SEP]
