,rel,head,tail,misc,misc2,score_grammar_1,score_no_grammar_1,score_grammar_2,score_no_grammar_2,score_grammar_3,score_no_grammar_3,score_grammar_4,score_no_grammar_4,score_grammar_5,score_no_grammar_5,score_grammar_6,score_no_grammar_6,score_grammar_7,score_no_grammar_7,score_grammar_8,score_no_grammar_8,score_grammar_9,score_no_grammar_9,score_grammar_10,score_no_grammar_10,top_100,rank_grammar_1,rank_no_grammar_1,rank_grammar_2,rank_no_grammar_2,rank_grammar_3,rank_no_grammar_3,rank_grammar_4,rank_no_grammar_4,rank_grammar_5,rank_no_grammar_5,rank_grammar_6,rank_no_grammar_6,rank_grammar_7,rank_no_grammar_7,rank_grammar_8,rank_no_grammar_8,rank_grammar_9,rank_no_grammar_9,rank_grammar_10,rank_no_grammar_10,Josh-Rating,Joe-Rating,Avg-Rating
1,HasSubevent,soil moisture,temperature,9,0.6354110280659999,6.597303867340088,2.01909828186035,-3.5241308212280273,-13.095225334167484,-13.645565509796143,-28.20954895019532,-23.767000198364258,-43.32387256622315,-33.88843488693237,-58.43819618225099,-44.00986957550049,-73.55251979827882,-54.1313042640686,-88.66684341430665,-64.25273895263672,-103.78116703033449,-74.37417364120483,-118.89549064636233,-84.49560832977295,-134.00981426239017,True,89.0,1186.0,298.0,1599.0,465.0,1734.0,595.0,1797.0,707.0,1823.0,756.0,1841.0,801.0,1858.0,843.0,1867.0,867.0,1867.0,890.0,1871.0,,,
13,HasSubevent,dopamine,norepinephrine transporter,7,0.22084232953,8.243099689483646,6.379144668579102,-15.126893997192376,-23.5206298828125,-38.496887683868394,-53.4204044342041,-61.86688137054442,-83.3201789855957,-85.23687505722044,-113.2199535369873,-108.60686874389646,-143.1197280883789,-131.97686243057248,-173.0195026397705,-155.3468561172485,-202.9192771911621,-178.71684980392453,-232.8190517425537,-202.08684349060056,-262.7188262939453,True,27.0,143.0,2469.0,2931.0,2895.0,2986.0,2934.0,2990.0,2944.0,2990.0,2945.0,2990.0,2946.0,2990.0,2948.0,2992.0,2951.0,2993.0,2952.0,2993.0,1.0,1.0,1.0
16,HasSubevent,shop,post office,38,0.166598231664,4.90414571762085,5.743513107299805,-0.3169264793395996,-4.350096225738525,-5.537998676300049,-14.443705558776855,-10.759070873260498,-24.537314891815186,-15.980143070220947,-34.630924224853516,-21.201215267181396,-44.724533557891846,-26.422287464141846,-54.818142890930176,-31.643359661102295,-64.9117522239685,-36.864431858062744,-75.00536155700684,-42.08550405502319,-85.09897089004517,True,241.0,219.0,101.0,186.0,74.0,203.0,70.0,234.0,63.0,255.0,61.0,273.0,61.0,291.0,61.0,301.0,61.0,309.0,61.0,311.0,,,
17,HasSubevent,hydrogen atom,carbon,10,0.153925633033,7.627735137939453,6.720572948455805,0.9014787673950195,-8.101017475128181,-5.824777603149414,-22.92260789871217,-12.551033973693848,-37.74419832229616,-19.27729034423828,-52.56578874588014,-26.003546714782715,-67.38737916946413,-32.72980308532715,-82.20896959304811,-39.45605945587158,-97.0305600166321,-46.182315826416016,-111.85215044021609,-52.90857219696045,-126.67374086380008,True,43.0,112.0,59.0,556.0,80.0,972.0,99.0,1208.0,111.0,1339.0,121.0,1427.0,132.0,1484.0,141.0,1530.0,146.0,1557.0,152.0,1584.0,,,
29,HasSubevent,show,season premiere,13,0.0888678732398,3.7656729221343994,8.155037879943848,-4.462340354919434,-2.703667640686035,-12.690353631973267,-13.562373161315918,-20.9183669090271,-24.4210786819458,-29.146380186080933,-35.279784202575684,-37.374393463134766,-46.138489723205566,-45.6024067401886,-56.99719524383545,-53.83042001724243,-67.85590076446533,-62.058433294296265,-78.71460628509521,-70.2864465713501,-89.5733118057251,True,430.0,47.0,387.0,93.0,391.0,162.0,395.0,229.0,407.0,277.0,415.0,327.0,419.0,345.0,427.0,364.0,432.0,378.0,434.0,392.0,,,
42,HasSubevent,amusement park,coaster,9,0.0556955469938,5.049590587615967,3.363999843597412,-0.7826509475708008,-9.73991060256958,-6.614892482757568,-22.843821048736572,-12.447134017944336,-35.947731494903564,-18.279375553131104,-49.05164194107056,-24.11161708831787,-62.15555238723755,-29.94385862350464,-75.25946283340454,-35.776100158691406,-88.36337327957153,-41.608341693878174,-101.46728372573853,-47.44058322906494,-114.57119417190552,True,227.0,675.0,119.0,833.0,102.0,962.0,98.0,1017.0,98.0,1050.0,97.0,1073.0,101.0,1096.0,101.0,1106.0,101.0,1108.0,103.0,1112.0,,,
54,HasSubevent,field hockey,ice hockey,20,0.0370383764851,7.798505067825317,3.1491875648498535,1.360517978668213,-10.242898941040039,-5.077469110488892,-23.63498544692993,-11.515456199645996,-37.027071952819824,-17.9534432888031,-50.41915845870972,-24.391430377960205,-63.81124496459961,-30.82941746711731,-77.2033314704895,-37.267404556274414,-90.5954179763794,-43.70539164543152,-103.98750448226929,-50.14337873458862,-117.37959098815918,True,36.0,740.0,47.0,946.0,68.0,1069.0,81.0,1134.0,93.0,1167.0,103.0,1190.0,106.0,1205.0,110.0,1218.0,117.0,1227.0,118.0,1231.0,,,
58,HasSubevent,airport,air base,11,0.0353215363111,6.871642112731934,4.923923969268799,3.159266710281372,-6.576011657714844,-0.5531086921691895,-18.075947284698486,-4.265484094619751,-29.57588291168213,-7.9778594970703125,-41.07581853866577,-11.690234899520874,-52.575754165649414,-15.402610301971436,-64.07568979263306,-19.114985704421997,-75.5756254196167,-22.82736110687256,-87.07556104660034,-26.53973650932312,-98.57549667358398,True,78.0,321.0,18.0,350.0,14.0,433.0,14.0,491.0,14.0,534.0,17.0,561.0,16.0,574.0,16.0,585.0,15.0,596.0,15.0,606.0,0.0,1.0,0.5
59,HasSubevent,piano,music theory,11,0.0344613100271,3.397001266479494,7.950327396392822,-6.317375183105467,-2.0817627906799316,-16.03175163269043,-12.113852977752686,-25.74612808227539,-22.14594316482544,-35.46050453186035,-32.17803335189819,-45.17488098144531,-42.21012353897095,-54.88925743103027,-52.2422137260437,-64.60363388061523,-62.274303913116455,-74.3180103302002,-72.30639410018921,-84.03238677978516,-82.33848428726196,True,518.0,55.0,628.0,72.0,722.0,120.0,779.0,144.0,807.0,179.0,831.0,207.0,851.0,219.0,857.0,231.0,865.0,245.0,868.0,264.0,,,
102,HasSubevent,tv movie,film,12,0.00931560920059,5.859936237335205,3.51827335357666,0.9494190216064453,-10.05254077911377,-3.9610981941223145,-23.6233549118042,-8.871615409851074,-37.19416904449463,-13.782132625579834,-50.76498317718506,-18.692649841308594,-64.33579730987549,-23.603167057037354,-77.90661144256592,-28.513684272766113,-91.47742557525635,-33.42420148849487,-105.04823970794678,-38.33471870422363,-118.6190538406372,True,135.0,618.0,57.0,902.0,46.0,1066.0,47.0,1155.0,47.0,1195.0,46.0,1218.0,47.0,1242.0,47.0,1262.0,47.0,1272.0,47.0,1281.0,,,
