Disagree,Both less than 3,Both greater than 3,,rel,head,tail,Josh-Rating,Joe-Rating,Avg-Rating,sent_LM,sent_concat,misc,misc2,temp,score_LM_1,score_concat_1,score_LM_2,score_concat_2,score_LM_3,score_concat_3,score_LM_4,score_concat_4,score_LM_5,score_concat_5,score_LM_6,score_concat_6,score_LM_7,score_concat_7,score_LM_8,score_concat_8,score_LM_9,score_concat_9,score_LM_10,score_concat_10,score_LM_cluster,score_concat_cluster,top_100,rank_LM_1,rank_concat_1,rank_LM_2,rank_concat_2,rank_LM_3,rank_concat_3,rank_LM_4,rank_concat_4,rank_LM_5,rank_concat_5,rank_LM_6,rank_concat_6,rank_LM_7,rank_concat_7,rank_LM_8,rank_concat_8,rank_LM_9,rank_concat_9,rank_LM_10,rank_concat_10,rank_LM_cluster,rank_concat_cluster,score_LM_ensemble,score_concat_ensemble,rank_LM_ensemble,rank_concat_ensemble
0,,,1517,HasA,an officer,duty,4,4,4,[CLS] an officer has a duty . [SEP],[CLS] an officer has a duty . [SEP],11,0.673101722,-15.95577207,4.360040665,4.360040665,2.090117455,2.090117455,-0.179805756,-0.179805756,-2.449728966,-2.449728966,-4.719652176,-4.719652176,-6.989575386,-6.989575386,-9.259498596,-9.259498596,-11.52942181,-11.52942181,-13.79934502,-13.79934502,-16.06926823,-16.06926823,2.657598257,2.771094418,TRUE,332,461,24,7,12,3,10,1,7,1,6,1,6,1,6,1,5,1,5,1,16,18,-41.3,-47.8,26,21
0,,,2154,CapableOf,game,single player,4,4,4,[CLS] the game can be single player . [SEP],[CLS] game capable of single player . [SEP],20,0.258524294,-31.80577769,6.078551769,9.216111183,1.307659626,4.632659912,-3.463232517,0.049208641,-8.23412466,-4.53424263,-13.0050168,-9.117693901,-17.77590895,-13.70114517,-22.54680109,-18.28459644,-27.31769323,-22.86804771,-32.08858538,-27.45149899,-36.85947752,-32.03495026,5.77852273,6.007695293,TRUE,111,23,41,3,33,2,34,3,32,2,32,2,32,2,32,2,33,2,36,2,3,4,-41.6,-4.3,27,2
1,0,1,606,UsedFor,pen name,author,4,3,3.5,[CLS] the pen name is used for the author . [SEP],[CLS] pen name used for author . [SEP],40,0.649584212,-35.0709285,8.006375313,11.05618334,4.915536404,5.902316093,1.824697495,0.748448849,-1.266141415,-4.405418396,-4.356980324,-9.559285641,-7.447819233,-14.71315289,-10.53865814,-19.86702013,-13.62949705,-25.02088737,-16.72033596,-30.17475462,-19.81117487,-35.32862186,7.190782905,7.448476267,TRUE,28,6,10,1,6,1,5,2,6,3,7,3,7,3,7,3,7,3,7,3,2,2,-9,-2.8,4,1
0,,,50,HasSubevent,set theory,logic,4,4,4,[CLS] one of the things you do when you set a theory is logic . [SEP],[CLS] set theory has sub ##eve ##nt logic . [SEP],31,0.044018697,-36.48951465,2.925434351,7.268705606,-7.026707172,2.379518986,-16.9788487,-2.509667635,-26.93099022,-7.398854256,-36.88313174,-12.28804088,-46.83527327,-17.1772275,-56.78741479,-22.06641412,-66.73955631,-26.95560074,-76.69169784,-31.84478736,-86.64383936,-36.73397398,3.601815641,3.846274972,TRUE,700,84,771,6,859,5,904,4,938,4,962,4,973,4,979,4,984,4,994,5,11,11,-906.4,-12.4,874,3
0,,,2753,Causes,insulin resistance,metabolic syndrome,4,4,4,[CLS] insulin resistance causes metabolic syndrome . [SEP],[CLS] insulin resistance causes metabolic syndrome . [SEP],10,0.059120457,-37.06587344,6.442260027,6.442260027,1.581016064,1.581016064,-3.2802279,-3.2802279,-8.141471863,-8.141471863,-13.00271583,-13.00271583,-17.86395979,-17.86395979,-22.72520375,-22.72520375,-27.58644772,-27.58644772,-32.44769168,-32.44769168,-37.30893564,-37.30893564,2.796327055,3.039389253,TRUE,85,144,35,12,31,6,32,5,31,5,33,5,33,5,34,5,38,6,38,6,14,16,-39,-19.9,22,7
1,0,1,1545,HasA,an office,name,3,4,3.5,[CLS] an office has a name . [SEP],[CLS] an office has a name . [SEP],7,0.415396514,-36.23052779,0.085971832,0.085971832,-3.971737623,-3.971737623,-8.029447079,-8.029447079,-12.08715653,-12.08715653,-16.14486599,-16.14486599,-20.20257545,-20.20257545,-24.2602849,-24.2602849,-28.31799436,-28.31799436,-32.37570381,-32.37570381,-36.43341327,-36.43341327,-2.957310259,-2.754424787,TRUE,2000,2267,318,191,125,26,77,12,61,8,52,7,44,6,38,6,35,5,33,4,322,361,-278.3,-253.2,235,188
0,,,1863,HasPrerequisite,drinking water,sanitation,4,4,4,[CLS] drinking water requires sanitation . [SEP],[CLS] drinking water has pre ##re ##quisite sanitation . [SEP],14,0.040193847,-39.56191254,2.915548801,6.299650669,-2.583416939,1.175453663,-8.082382679,-3.948743343,-13.58134842,-9.07294035,-19.08031416,-14.19713736,-24.5792799,-19.32133436,-30.07824564,-24.44553137,-35.57721138,-29.56972837,-41.07617712,-34.69392538,-46.57514286,-39.81812239,2.456502914,2.712712765,TRUE,702,159,196,15,128,8,110,6,98,6,95,6,92,7,90,7,89,7,86,7,18,20,-168.6,-22.8,131,9
0,,,1615,HasA,the violin,viola,1,1,1,[CLS] the violin has a viola . [SEP],[CLS] the violin has a viola . [SEP],38,0.155139049,-41.23166463,5.060683727,5.060683727,-0.111645699,-0.111645699,-5.283975124,-5.283975124,-10.45630455,-10.45630455,-15.62863398,-15.62863398,-20.8009634,-20.8009634,-25.97329283,-25.97329283,-31.14562225,-31.14562225,-36.31795168,-36.31795168,-41.49028111,-41.49028111,1.181436658,1.440053129,TRUE,218,309,76,25,60,10,56,8,56,7,58,8,54,8,53,8,53,8,53,8,49,54,-73.7,-39.9,52.5,14
0,,,2214,CapableOf,spacecraft,human spaceflight,4,4,4,[CLS] spacecraft can human space ##flight . [SEP],[CLS] spacecraft capable of human space ##flight . [SEP],7,0.107632579,-41.50059397,1.663310528,3.89398551,-16.19804668,-1.178034544,-34.0594039,-6.250054598,-51.92076111,-11.32207465,-69.78211832,-16.39409471,-87.64347553,-21.46611476,-105.5048327,-26.53813481,-123.36619,-31.61015487,-141.2275472,-36.68217492,-159.0889044,-41.75419497,0.089970469,0.343571472,TRUE,1192,581,2663,58,2810,14,2842,10,2857,9,2861,9,2864,9,2868,9,2874,9,2875,9,85,95,-2670.6,-71.7,2737,43
0,,,1577,HasA,the player,game,4,4,4,[CLS] the player has game . [SEP],[CLS] the player has a game . [SEP],765,0.264177377,-44.08667127,2.489462614,3.025340796,-3.61871171,-2.238571167,-9.726886034,-7.50248313,-15.83506036,-12.76639509,-21.94323468,-18.03030705,-28.05140901,-23.29421902,-34.15958333,-28.55813098,-40.26775765,-33.82204294,-46.37593198,-39.0859549,-52.4841063,-44.34986687,-0.922593176,-0.659397578,TRUE,843,872,295,89,209,22,178,15,159,11,151,10,143,10,140,10,136,10,134,10,149,159,-238.8,-105.9,203,67.5
